ext_id,title,image_link
945170001,Lot 71 Sack Coat,http://lsco.scene7.com/is/image/lsco/Levi/clothing/945170001-front-pdp.jpg
55200130,520™ Extreme Taper Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/055200130-front-pdp.jpg
168820084,522™ Slim Taper Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/168820084-front-pdp.jpg
163800017,Classic T-Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/163800017-front-pdp.jpg
771730673,Bifold with Coin Pocket,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771730673-front-pdp.jpg
161130025,Classic Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/161130025-front-pdp.jpg
197760000,Levi's® Housemark Polo,http://lsco.scene7.com/is/image/lsco/Levi/clothing/197760000-front-pdp.jpg
218340008,714 Straight Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/218340008-front-pdp.jpg
201990004,áBIB AND BRACE OVERALLS,http://lsco.scene7.com/is/image/lsco/Levi/clothing/201990004-front-pdp.jpg
194830000,Brushed Fairisle Crew,http://lsco.scene7.com/is/image/lsco/Levi/clothing/194830000-front-pdp.jpg
193360000,Silky Sleeveless Blouse,http://lsco.scene7.com/is/image/lsco/Levi/clothing/193360000-front-pdp.jpg
618660002,1880 Triple Pleat Blouse,http://lsco.scene7.com/is/image/lsco/Levi/clothing/618660002-front-pdp.jpg
50810211,Tack Slim Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/050810211-front-pdp.jpg
771700338,Colorblocked Messenger Bag,http://lsco.scene7.com/is/image/lsco/Levi//771700338-2015-spring-front-pdp.jpg
771280198,Sancio Suede Boots,http://lsco.scene7.com/is/image/lsco/Levi//771280198-2015-spring-front-pdp.jpg
771280203,Sancio Leather Boots,http://lsco.scene7.com/is/image/lsco/Levi//771280203-2014-fall-front-pdp.jpg
771380882,Jacquard Scarf,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771380882-front-pdp.jpg
771700540,Utility Hip Pack,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771700540-front-pdp.jpg
771740161,Small Leather Zip Wallet,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771740161-front-pdp.jpg
178040032,501® CT Jeans for Women,http://lsco.scene7.com/is/image/lsco/Levi/clothing/178040032-front-pdp.jpg
771380942,Chunky Ribbed Beanie,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771380942-front-pdp.jpg
771380785,Madras Bowtie,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771380785-2014-fall-front-pdp.jpg
264560000,Quilted Bomber Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/264560000-front-pdp.jpg
771700272,Wool Tote Bag,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771700272-2014-fall-front-pdp.jpg
295170001,Military Shacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/295170001-front-pdp.jpg
771400504,Solid Weave Infiniti Scarf,http://lsco.scene7.com/is/image/lsco/Levi/clothing/771400504-front-pdp.jpg
771710209,Crafted Leather Tote Bag,http://lsco.scene7.com/is/image/lsco/Levi//771710209-2015-spring-front-pdp.jpg
771271469,NY Runner Sneakers,http://lsco.scene7.com/is/image/lsco/Levi/clothing/771271469-front-pdp.jpg
45112200,511™ Slim Fit Jeans - Chinese New Year,http://lsco.scene7.com/is/image/lsco/Levi/clothing/045112200-front-pdp.jpg
295540008,Line 8 Unisex/For Everyone Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/295540008-front-pdp.jpg
178950024,Graphic Crew Sweatshirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/178950024-front-pdp.jpg
195860059,Classic One Pocket Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/195860059-front-pdp.jpg
658160198,Barstow Western Shirt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/658160198-front-pdp.jpg
773160352,Levi's® 200 Series 2 Pack Vintage Heather Boxer Briefs,http://lsco.scene7.com/is/image/lsco/Levi/clothing/773160352-front-pdp.jpg
773190434,Levi's® 168 Series 2 Pack Socks,http://lsco.scene7.com/is/image/lsco/Levi/accessories/773190434-2014-fall-front-pdp.jpg
224910217,Levi's® Graphic Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/224910217-front-pdp.jpg
244500005,Square Belt,http://lsco.scene7.com/is/image/lsco/Levi/clothing/244500005-front-pdp.jpg
771230159,Vintage Lace Up Boots,http://lsco.scene7.com/is/image/lsco/Levi/shoes/771230159-Vintage-Lace-Up-Boots-Dark-Brown-2013-fall-front-pdp.jpg
