ext_id,title,link,msd_ontology_with_link,msd_ontology_with_title,cp_ontology_with_link,cp_ontology_with_title
P60153555,Button Detail Trousers,http://www.marksandspencer.com/button-detail-trousers/p/p60153555,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers,NA>bottomwear>pants>trousers
P60152212,Batman&trade; Short Pyjamas (2-8 Years),http://www.marksandspencer.com/batman-short-pyjamas-2-8-years-/p/p60152212,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama
P60131315,Printed A-Line Midi Skirt,http://www.marksandspencer.com/printed-a-line-midi-skirt/p/p60131315,NA>bottomwear>skirts>midi,NA>bottomwear>skirts>midi,NA>bottomwear>skirts>midi,NA>bottomwear>skirts>midi
P60144113,Pure Cotton Striped Crew Neck T-Shirt,http://www.marksandspencer.com/pure-cotton-striped-crew-neck-t-shirt/p/p60144113,NA>topwear>tshirts,NA>topwear>tshirts,NA>topwear>tshirts,NA>topwear>tshirts
P60160443,Novelty Short Sleeve Pyjama Set,http://www.marksandspencer.com/novelty-short-sleeve-pyjama-set/p/p60160443,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama
P60157890,Floral Foil Print Woven Front T-Shirt,http://www.marksandspencer.com/floral-embellished-half-sleeve-t-shirt/p/p60157890,NA>topwear>tshirts,NA>topwear>tshirts,NA>topwear>tshirts,NA>topwear>tshirts
P60144106,Patchwork Scarf,http://www.marksandspencer.com/patchwork-scarf/p/p60144106,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves
P60138058,Multi Bug Flower Necklace,http://www.marksandspencer.com/multi-bug-flower-necklace/p/p60138058,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces
P60130566,2 Pack Pure Cotton Top & Bottom Outfits,http://www.marksandspencer.com/2-pack-pure-cotton-top-and-bottom-outfits/p/p60130566,NA>bottomwear>others,NA>bottomwear>others,NA>bottomwear>others,NA>bottomwear>others
P60149974,Lace Padded Full Cup Bra A-E,http://www.marksandspencer.com/lace-padded-full-cup-bra-a-e/p/p60149974,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras,NA>lingerie>bras
P60160669,Faux Leather Colour Block Tote Bag,http://www.marksandspencer.com/faux-leather-colour-block-tote-bag/p/p60160669,NA>bags>others,NA>bags>others,NA>bags>others,NA>bags>others
P60146350,Cotton Rich Bermuda Shorts (3-16 Years),http://www.marksandspencer.com/cotton-rich-bermuda-shorts-3-16-years-/p/p60146350,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts
P60137252,Pure Silk Floral Print Scarf,http://www.marksandspencer.com/pure-silk-floral-print-scarf/p/p60137252,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves
P60137188,Sparkle Scarf,http://www.marksandspencer.com/sparkle-scarf/p/p60137188,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves
